Route ID,Route Point Index,Delivery ID,Route Point Type,Route Point Time
0,0,2.0,Pickup,1422929400
0,1,2.0,DropOff,1422930257
0,2,36.0,Pickup,1422930720
0,3,36.0,DropOff,1422931829
0,4,113.0,Pickup,1422932384
0,5,113.0,DropOff,1422933036
0,6,192.0,Pickup,1422933222
0,7,192.0,DropOff,1422933906
0,8,176.0,Pickup,1422934075
0,9,176.0,DropOff,1422934687
1,0,22.0,Pickup,1422929460
1,1,22.0,DropOff,1422929829
1,2,62.0,Pickup,1422930360
1,3,62.0,DropOff,1422931024
1,4,115.0,Pickup,1422931440
1,5,115.0,DropOff,1422931889
1,6,132.0,Pickup,1422932100
1,7,132.0,DropOff,1422932747
1,8,156.0,Pickup,1422932988
1,9,156.0,DropOff,1422934146
1,10,183.0,Pickup,1422934448
1,11,183.0,DropOff,1422934944
1,12,207.0,Pickup,1422935315
1,13,207.0,DropOff,1422935785
2,0,1.0,Pickup,1422929580
2,1,1.0,DropOff,1422930411
2,2,38.0,Pickup,1422930780
2,3,38.0,DropOff,1422931040
2,4,60.0,Pickup,1422931380
2,5,60.0,DropOff,1422931815
2,6,99.0,Pickup,1422931980
2,7,99.0,DropOff,1422932945
2,8,194.0,Pickup,1422933874
2,9,194.0,DropOff,1422935162
3,0,18.0,Pickup,1422929940
3,1,18.0,DropOff,1422930873
3,2,79.0,Pickup,1422931440
3,3,79.0,DropOff,1422932327
3,4,174.0,Pickup,1422932825
3,5,174.0,DropOff,1422933097
3,6,191.0,Pickup,1422933378
3,7,191.0,DropOff,1422933437
3,8,182.0,Pickup,1422933496
3,9,182.0,DropOff,1422934026
4,0,15.0,Pickup,1422930180
4,1,15.0,DropOff,1422931032
4,2,77.0,Pickup,1422931440
4,3,77.0,DropOff,1422932031
4,4,147.0,Pickup,1422932401
4,5,147.0,DropOff,1422933241
4,6,149.0,Pickup,1422934096
4,7,149.0,DropOff,1422935239
5,0,14.0,Pickup,1422930240
5,1,14.0,DropOff,1422930821
5,2,81.0,Pickup,1422931887
5,3,81.0,DropOff,1422931980
5,4,104.0,Pickup,1422932469
5,5,104.0,DropOff,1422932850
5,6,131.0,Pickup,1422933230
5,7,131.0,DropOff,1422934470
6,0,8.0,Pickup,1422930300
6,1,8.0,DropOff,1422931188
6,2,46.0,Pickup,1422931434
6,3,46.0,DropOff,1422932179
6,4,139.0,Pickup,1422932493
6,5,139.0,DropOff,1422932790
6,6,80.0,Pickup,1422933152
6,7,80.0,DropOff,1422933346
6,8,173.0,Pickup,1422933554
6,9,173.0,DropOff,1422934737
6,10,163.0,Pickup,1422934973
6,11,163.0,DropOff,1422935885
9,0,11.0,Pickup,1422930360
9,1,11.0,DropOff,1422931053
9,2,71.0,Pickup,1422931827
9,3,71.0,DropOff,1422932266
9,4,134.0,Pickup,1422932561
9,5,134.0,DropOff,1422933053
9,6,143.0,Pickup,1422933640
9,7,143.0,DropOff,1422934705
10,0,37.0,Pickup,1422930360
10,1,37.0,DropOff,1422930696
10,2,107.0,Pickup,1422931500
10,3,107.0,DropOff,1422931906
10,4,158.0,Pickup,1422932130
10,5,158.0,DropOff,1422933069
10,6,85.0,Pickup,1422933468
10,7,85.0,DropOff,1422933753
10,8,203.0,Pickup,1422934260
10,9,203.0,DropOff,1422934704
11,0,87.0,Pickup,1422930360
11,1,87.0,DropOff,1422930556
11,2,106.0,Pickup,1422931080
11,3,106.0,DropOff,1422931354
11,4,155.0,Pickup,1422931800
11,5,155.0,DropOff,1422932223
11,6,151.0,Pickup,1422933070
11,7,151.0,DropOff,1422933409
11,8,199.0,Pickup,1422933765
11,9,199.0,DropOff,1422934505
11,10,179.0,Pickup,1422934900
11,11,179.0,DropOff,1422935890
11,12,96.0,Pickup,1422936707
11,13,96.0,DropOff,1422937671
12,0,3.0,Pickup,1422930420
12,1,3.0,DropOff,1422930897
12,2,73.0,Pickup,1422931500
12,3,73.0,DropOff,1422932047
12,4,146.0,Pickup,1422932400
12,5,146.0,DropOff,1422933224
12,6,181.0,Pickup,1422934332
12,7,181.0,DropOff,1422934931
13,0,9.0,Pickup,1422930420
13,1,9.0,DropOff,1422930618
13,2,13.0,Pickup,1422930840
13,3,13.0,DropOff,1422931959
13,4,135.0,Pickup,1422933029
13,5,135.0,DropOff,1422933284
13,6,200.0,Pickup,1422933427
13,7,200.0,DropOff,1422934445
14,0,10.0,Pickup,1422930420
14,1,10.0,DropOff,1422931223
14,2,69.0,Pickup,1422931883
14,3,69.0,DropOff,1422931977
14,4,148.0,Pickup,1422932520
14,5,148.0,DropOff,1422932647
14,6,100.0,Pickup,1422932782
14,7,100.0,DropOff,1422932991
14,8,27.0,Pickup,1422933547
14,9,27.0,DropOff,1422933877
14,10,121.0,Pickup,1422934193
14,11,121.0,DropOff,1422935232
15,0,4.0,Pickup,1422930540
15,1,4.0,DropOff,1422931544
15,2,140.0,Pickup,1422932340
15,3,140.0,DropOff,1422933155
16,0,48.0,Pickup,1422930540
16,1,48.0,DropOff,1422931059
16,2,89.0,Pickup,1422931680
16,3,89.0,DropOff,1422932315
16,4,141.0,Pickup,1422932640
16,5,141.0,DropOff,1422933234
16,6,118.0,Pickup,1422933356
16,7,118.0,DropOff,1422933867
16,8,187.0,Pickup,1422934939
16,9,187.0,DropOff,1422935500
17,0,31.0,Pickup,1422930540
17,1,31.0,DropOff,1422930988
17,2,54.0,Pickup,1422931500
17,3,54.0,DropOff,1422932112
17,4,40.0,Pickup,1422932338
17,5,40.0,DropOff,1422932795
17,6,142.0,Pickup,1422933377
17,7,142.0,DropOff,1422934098
17,8,198.0,Pickup,1422935074
17,9,198.0,DropOff,1422935197
18,0,20.0,Pickup,1422930600
18,1,20.0,DropOff,1422931255
18,2,103.0,Pickup,1422931980
18,3,103.0,DropOff,1422932529
18,4,49.0,Pickup,1422932975
18,5,49.0,DropOff,1422934079
19,0,47.0,Pickup,1422930600
19,1,47.0,DropOff,1422931252
19,2,109.0,Pickup,1422931896
19,3,109.0,DropOff,1422932593
19,4,97.0,Pickup,1422932896
19,5,97.0,DropOff,1422933418
19,6,154.0,Pickup,1422933768
19,7,154.0,DropOff,1422934453
19,8,202.0,Pickup,1422935329
19,9,202.0,DropOff,1422936428
20,0,21.0,Pickup,1422930600
20,1,21.0,DropOff,1422931100
20,2,83.0,Pickup,1422931560
20,3,83.0,DropOff,1422932171
20,4,124.0,Pickup,1422932669
20,5,124.0,DropOff,1422933654
21,0,92.0,Pickup,1422930600
21,1,92.0,DropOff,1422931707
21,2,108.0,Pickup,1422932333
21,3,108.0,DropOff,1422932462
21,4,117.0,Pickup,1422932574
21,5,117.0,DropOff,1422933464
21,6,145.0,Pickup,1422934400
21,7,145.0,DropOff,1422934876
21,8,185.0,Pickup,1422935391
21,9,185.0,DropOff,1422936618
22,0,7.0,Pickup,1422930600
22,1,7.0,DropOff,1422930921
22,2,65.0,Pickup,1422931260
22,3,65.0,DropOff,1422931733
22,4,86.0,Pickup,1422932615
22,5,86.0,DropOff,1422933330
22,6,58.0,Pickup,1422934354
22,7,58.0,DropOff,1422935027
22,8,205.0,Pickup,1422936351
22,9,205.0,DropOff,1422936971
23,0,28.0,Pickup,1422930660
23,1,28.0,DropOff,1422931187
23,2,78.0,Pickup,1422931740
23,3,78.0,DropOff,1422932252
23,4,120.0,Pickup,1422932603
23,5,120.0,DropOff,1422933095
23,6,201.0,Pickup,1422934196
23,7,201.0,DropOff,1422935106
24,0,24.0,Pickup,1422930660
24,1,24.0,DropOff,1422930907
24,2,68.0,Pickup,1422931260
24,3,68.0,DropOff,1422931804
24,4,130.0,Pickup,1422932408
24,5,130.0,DropOff,1422933356
24,6,177.0,Pickup,1422933746
24,7,177.0,DropOff,1422935082
25,0,6.0,Pickup,1422930720
25,1,6.0,DropOff,1422931118
25,2,76.0,Pickup,1422931500
25,3,76.0,DropOff,1422932414
25,4,114.0,Pickup,1422932660
25,5,114.0,DropOff,1422933332
25,6,165.0,Pickup,1422933544
25,7,165.0,DropOff,1422934513
26,0,19.0,Pickup,1422930720
26,1,19.0,DropOff,1422931764
26,2,63.0,Pickup,1422932398
26,3,63.0,DropOff,1422933358
26,4,168.0,Pickup,1422933527
